Key,Group name,en,cz,ru,ua
Center camera on scene,,,Vycentrovat kameru na scénu,Центрировать камеру на сцене,Центрувати камеру на сцені
Show axes,,,Zobrazit osy,Показать оси,Показати осі
Object visibility toggle,,,Přepnout viditelnost objektů,Переключатель видимости объекта,Перемикач видимості об'єкта
Object visibility,,,Viditelnost objektu,Видимость объекта,Видимість об'єкта
Objects,,,Objekty,Объекты,Об'єкти
Axes,,,Osy,Оси,Осі
Grid,,,Mřížka,Сетка,Сітка
Cameras,,,Kamery,Камеры,Камери
Frustums,,,Pohledové objemy,Усеченная пирамида,Фруструми
Toggle world lighting,,,Přepnout světové osvětlení,Переключить мировое освещение,Перемкнути світове освітлення
Toggle manipulators,,,Přepnout manipulátory,Переключить манипуляторы,Перемкнути маніпулятори
,Workspace window,,,,
Workspace,,,Pracovní plocha,Рабочее Пространство,Робочий простір
,TrackingTimeline,,,,
Switch direction,,,Přepnout směr,Переключить направление,Переключити напрямок
Highlight tracked models,,,Zvýraznit sledované modely,Выделить отслеживаемые модели,Виокремити відстежувані моделі
Tracking settings,,,Nastavení sledování,Настройки отслеживания,Налаштування відстеження
Decompose projection,,,Rozložit projekci,Разложить проекцию,Розкласти проекцію
Shirley decomposition,,,Rozklad Shirley,Разложение Ширли,Розкладання Ширлі
Brown decomposition,,,Brownův rozklad,Разложение Брауна,Розкладання Брауна
Track in world space,,,Sledování ve světovém prostoru,Отслеживать в мировом пространстве,Відстежувати у світовому просторі
Reset reference space,,,Obnovit referenční prostor,Сбросить исходное пространство,Скинути вихідний простір
,Add Menu,,,,
Add,,,Přidat,Добавить,Додати
Model,,,Model,Модель,Модель
Import models...,,,Nahrát modely...,Импортировать модели,Імпортувати моделі
,Edit Menu,,,,
Select all,,,Vybrat vše,Выбрать все,Вибрати все
Invert,,,Invertovat,Инвертировать,Інвертувати
To all,,,Na vše,Ко всем,До всього
To selection,,,Na vybrané,К выбранным,До вибраного
,View Menu,,,,
Zoom all,,,Přiblížit vše,Увеличить все,Вибрати все
Reset zoom,,,Resetovat zoom,Сбросить увеличение,Скинути масштаб
Show,,,Zobrazit,Показать,Показати
Use dots,,,Použít tečky,Использовать точки,Використовувати крапки
,Add new nodes,,,,
Add...,,,Přidat...,Добавить...,Додати...
,Common node,,,,
Choose value...,,,Zvolte hodnotu...,Выберете значение...,Виберіть значення...
Angle,,,Úhel,Угол,Кут
Delete,,,Odstranit,Удалить,Видалити
Selected nodes,,,Vybrané uzly,Выбранные узлы,Вибрані вузли
Selected links,,,Vybrané spoje,Выбранные связи,Вибрані зв'язки
All nodes,,,Všechny uzly,Все узлы,Усі вузли
All links,,,Všechny spoje,Все связи,Усі зв'язки
Selection,,,Výběr,Выделение,Виділення
Zoom,,,Přiblížit/Zoom,Увеличить,Збільшити
Rename,,,Přejmenovat,Переименовать,Перейменувати
Lock,,,Zamknout,Заблокировать,Заблокувати
Unlock,,,Odemknout,Разблокировать,Розблокувати
Enable synergies,,,Povolit synergii,Включить синергию,Увімкнути синергію
Disable synergies,,,Zakázat synergii,Выключить синергию,Вимкнути синергію
Value,,,Hodnoty,Значения,Значення
Reset,,,Resetovat,Сбросить,Скинути
Store,,,Uložit,Сохранить,Зберегти
Restore,,,Obnovit,Восстановить,Відновити
Decimal digits,,,Desetinné číslice,Десятичные разряды,Десяткові розряди
Duplicate,,,Duplikovat,Дублировать,Дублювати
Set display mode,,,Nastavit režim zobrazení,Установить режим отображения,Встановити режим відображення
Expanded,,,Rozbalený,Развернутый,Розгорнутий
Value setter,,,Nastavení hodnot,Установка значений,Встановлення значень
Collapsed,,,Sbalený,Свернутый,Згорнутий
Collapse node,,,Sbalit uzel,Свернуть узел,Згорнути вузол
Expand node,,,Rozbalit uzel,Развернуть узел,Розгорнути вузол
Set visibility,,,Nastavit viditelnost,Установить видимость,Встановити видимість
Set value,,,Nastavit hodnotu,Установить значение,Встановити значення
Matrix in this sequence,,,Matice v této posloupnosti,Матрица в этой последовательности,Матриця в цій послідовності
Composite matrix of all matrices to the left,,,Složená matice všech matic vlevo,Составная матрица всех матриц слева,Складова матриця всіх матриць зліва
Matrix replacing this sequence content,,,Matrice nahrazující tento obsah sekvence,"Матрица, заменяющая содержимое этой последовательности","Матриця, що замінює вміст цієї послідовності"
Set as reference space in scene view,,,Nastavení jako referenční prostor v zobrazení scény,Установить в качестве базового пространства в просмотре сцены,Встановити як базовий простір у перегляді сцени
Matrix multiplication,,,Násobení matic,Перемножение матриц,Перемноження матриць
Screen display data,,,Údaje na displeji,Данные экрана,Дані екрану
Mismatched pin types (matrix/float/vec/...),,,Neshodné typy pinů (matrix/float/vec/...),Несоответствующие типы пинов (matrix/float/vec/...),Невідповідні типи пінів (matrix/float/vec/...)
Mismatched pin kinds (in/out),,,Neshodné druhy pinů (vstup/výstup),Несоответствующие виды пинов (вход/выход),Невідповідні види пінів (вхід/вихід)
Loop to the same node,,,Smyčka do stejného uzlu,Цикл к одному и тому же узлу,Цикл до одного й того ж вузла
Pin does not exist,,,Pin neexistuje,Пин не существует,Пін не існує
Loop not allowed,,,Smyčka není povolena,Цикл не разрешен,Цикл не дозволено
Pin is disabled,,,Pin je vypnut,Пин отключен,Пін відключений
Connection not possible,,,Připojení není možné,Подключение невозможно,Підключення неможливе
Set as reference space,,,Nastavit jako referenční prostor,Установить в качестве базового пространства,Встановити як базовий простір
Reference space,,,Referenční prostor,Базовое пространство,Базовий простір
,Screen node,,,,
Screen width,,,Šířka obrazovky,Ширина экрана,Ширина екрану
Screen height,,,Výška obrazovky,Высота экрана,Висота екрану
Aspect ratio,,,Poměr stran,Соотношение сторон,Співвідношення сторін
NO INPUT,,,ŽÁDNÝ VSTUP,НЕТ ВВОДА,НІ ВВОДУ
  INVALID,,,  NEPLATNÉ,  НЕДОПУСТИМОЕ,  НЕПРИПУСТИМЕ
VIEWPORT,,,OKNO ZOBRAZENÍ,ОКНО ПРОСМОТРА,ВІКНО ПЕРЕГЛЯДУ
,Camera node,,,,
Show viewport,,,Zobrazit okno zobrazení,Показать окно просмотра,Показати вікно перегляду
Coordinate system,,,Souřadnicový systém,Координатная система,Координатна система
Show camera,,,Zobrazit kameru,Показать камеру,Показати камеру
Show frustum,,,Zobrazit pohledový objem,Показать усеченную пирамиду,Показати усічену піраміду
Fill frustum,,,Naplnit pohledový objem,Заполнить усеченную пирамиду,Заповнити усічену піраміду
Frustum fill color,,,Barva výplně pohledového objemu,Цвет заполнения усеченной пирамиды,Колір заповнення усіченої піраміди
Default,,,Výchozí,По умолчанию,За замовчуванням
Red,,,Červený,Красный,Червоний
Blue,,,Modrý,Синий,Синій
Green,,,Zelený,Зеленый,Зелений
Yellow,,,Žlutý,Желтый,Жовтий
Orange,,,Oranžový,Оранжевый,Помаранчевий
Magenta,,,Magenta,Пурпурный,Пурпурний
Teal,,,Tyrkysový,Бирюзовый,Бірюзовий
Frustum outline color,,,Barva obrysu pohledového objemu,Цвет контура усеченной пирамиды,Колір контуру усіченої піраміди
Change frustum color,,,Změnit barvu pohledového objemu,Изменить цвет усеченной пирамиды,Змінити колір усіченої піраміди
,Model node,,,,
Show model,,,Zobrazit model,Показать модель,Показати модель
Opaque,,,Neprůhledný,Непрозрачный,Непрозорий
Back-face culling,,,Back-face culling,Отбраковка задней поверхности(Back-face culling),Відсікання задньої поверхні(Back-face culling)
Opacity,,,Neprůhlednost,Непрозрачность,Непрозорість
None,,,Žádná,Отсутствует,Відсутній
Brown,,,Hnědý,Коричневый,Коричневий
Light Blue,,,Světle modrý,Голубой,Блакитний
Strength,,,Síla,Сила,Сила
Change model,,,Změnit model,Изменить модель,Змінити модель
Stop tracking,,,Zastavit sledování,Остановить отслеживание,Зупинити відстеження
Smooth tracking,,,Plynulé sledování,Плавное отслеживание,Плавне відстеження
Start tracking from right,,,Začít sledovat zprava,Начать отслеживание справа,Почати відстеження справа
Start tracking from left,,,Začít sledovat zleva,Начать отслеживание слева,Почати відстеження зліва
Set opacity,,,Nastavit neprůhlednost,Установить непрозрачность,Встановити непрозорість
Change color,,,Změnit barvu,Изменить цвет,Змінити колір
Adjust tint,,,Upravit odstín,Настроить оттенок,Налаштувати відтінок
Tracking,,,Krokování,Отслеживание,Відстеження
,Cycle node,,,,
   once   ,,,jednou,один раз,один раз
   repeat   ,,,opakovat,повтор,повтор
   ping-pong   ,,,ping-pong,пинг-понг,пінг-понг
  smooth step: ,,, plynulý krok:,  плавный шаг:,  плавний крок:
     step duration: ,,,      trvání kroku:, длительность шага:, тривалість кроку:
Automatic step duration,,,Automatické trvání kroku,Автоматическая продолжительность шага,Автоматична тривалість кроку
             single step: ,,,              jeden krok:,                один шаг:,                один крок:
Step for manual Next/Prev,,,Krok pro ruční Další/Předchozí,Шаг для ручного управления Далее/Предыдущий,Крок для ручного керування Далі/Попередній
,Start window,,,,
Welcome,,,Vítejte,Добро пожаловать,Ласкаво просимо
I3T is an educational application that allows the study of 3D transformations and,,,"I3T je vzdělávací aplikace, která umožňuje názorným způsobem studovat 3D transformace a","I3T - это учебное приложение, которое позволяет изучать 3D-трансформации и","I3T - це навчальний застосунок, який дозволяє вивчати 3D-трансформації та"
 their hierarchy in an illustrative way.,,, jejich hierarchii., их иерархию наглядным образом., їх ієрархію наочно.
Learn,,,Studium,Изучение,Вивчення
Transformations,,,Transformace,Трансформации,Трансформації
Your scene,,,Vaše scéna,Ваша Сцена,Ваша сцена
Start with an empty scene or open your previous work.,,,Začněte s prázdnou scénou nebo otevřete svou předchozí práci.,Начните с пустой сцены или откройте свою предыдущую работу.,Розпочніть з порожньої сцени або відкрийте свою попередню роботу.
No recent files,,,Žádné nedávné soubory,Нет недавних файлов,Немає нещодавніх файлів
Start,,,Začít,Начать,Почати
,Change Language modal,,,,
Cancel,,,Storno,Отмена,Скасувати
OK,,,OK,ОК,ОК
You need to restart the application for all changes to take effect.,,,Pro uplatnění všech změn je třeba restartovat aplikaci.,Для применения всех изменений необходимо перезапустить приложение.,"Щоб застосувати всі зміни, потрібно перезапустити програму."
,Log window,,,,
Log View,,,Logovácí okno,Просмотр Журнала,Перегляд журналу
Log output,,,Výstup logu,Вывод Журнала,Вивід журналу
Switch fire action key,,,Přepnout akční klávesu,Переключить клавишу действия огня,Перемкнути клавішу дії вогню
Current keys: %s,,,Aktuální klávesy: %s,Текущие клавиши: %s,Поточні клавіші: %s
Switch,,,Přepnout,Переключить,Перемкнути
,Console window,,,,
Console,,,Konzolové okno,Консоль,Консоль
,Statistics window,,,,
Application Statistics,,,Statistiky aplikací,Статистика приложения,Статистика програми
Statistics,,,Statistiky,Статистика,Статистика
"Frame %d, FPS %.1f",,,"Snímek %d, FPS %.1f","Кадр %d, FPS %.1f","Кадр %d, FPS %.1f"
Framerate: %.3f,,,Framerate: %.3f,Частота кадров: %.3f,Частота кадрів: %.3f
Frametime: %.3f,,,Frametime: %.3f,Время кадра: %.3f,Час кадру: %.3f
CPU Timers:,,,Časovače CPU,Таймеры ЦП:,Таймери ЦП:
GPU Timers:,,,Časovače GPU,Таймеры ГП:,Таймери ГП:
Total GPU memory %d MB,,,Celková paměť GPU %d MB,Всего памяти ГП %d МБ,Всього пам'яті ГП %d МБ
%u MB alloc.,,,%u MB alokováno.,%u МБ выделено.,%u МБ виділено.
%u MB free.,,,%u MB volné.,%u МБ свободно.,%u МБ вільно.
,Manage model window,,,,
No models imported,,,Žádné modely nejsou importovány,Нет импортированных моделей,Немає імпортованих моделей
Import,,,Importovat,Импортировать,Імпортувати
Remove,,,Odstranit,Удалить,Видалити
Normalize model size,,,Normalizovat velikost modelu,Нормализовать размер модели,Нормалізувати розмір моделі
Model details:,,,Detail modelu:,Детали модели:,Деталі моделі:
No model selected,,,Žádný model není vybrán,Нет выбранной модели,Не вибрано модель
Import model(s),,,Importovat model(y),Импортировать модель(и),Імпортувати модель(і)
,Style Editor window,,,,
Custom theme,,,Vlastní téma,Пользовательская тема,Користувацька тема
Use default theme,,,Použít výchozí téma,Использовать стандартную тему,Використовувати стандартну тему
Revert changes,,,Vrátit změny,Отменить изменения,Скасувати зміни
Reload all Themes,,,Znovu načíst všechna témata,Перезагрузить все темы,Перезавантажити всі теми
(Discards all unsaved changes),,,(Odstraní všechny neuložené změny),(Отменит все несохраненные изменения),(Скасує всі незбережені зміни)
Save current modifications to file (discards unsaved changes on other Themes),,,Uložit aktuální úpravy do souboru (odstraní neuložené změny na jiných tématech),Сохранить текущие изменения в файл (отменит несохраненные изменения в других темах),Зберегти поточні зміни у файл (скасує незбережені зміни в інших темах)
Overwrite,,,Přepsat,Перезаписать,Перезаписати
Save as,,,Uložit jako,Сохранить как,Зберегти як
New theme name,,,Nový název tématu,Новое имя темы,Нова назва теми
Reset to defaults,,,Resetovat na výchozí hodnoty,Сбросить на стандартные настройки,Скинути до стандартних налаштувань
Application settings,,,Nastavení aplikace,Настройки приложения,Налаштування програми
Limit FPS using VSync,,,Omezení FPS pomocí VSync,Ограничить FPS с помощью VSync,Обмежити FPS за допомогою VSync
VSync - Vertical Synchronization,,,VSync - Vertikální synchronizace,VSync - вертикальная синхронизация,VSync - вертикальна синхронізація
Synchronizes the frame rate with the monitor refresh rate.,,,Synchronizuje obnovovací frekvenci s obnovovací frekvencí monitoru.,Синхронизирует частоту кадров с частотой обновления монитора.,Синхронізує частоту кадрів із частотою оновлення монітора.
Limit FPS manually,,,Omezit FPS ručně,Ограничить FPS вручную,Обмежити FPS вручну
Cannot be enabled with VSync,,,Nelze zapnout s VSync,Не может быть включен с VSync,Не можна увімкнути з VSync
Manual FPS Limit,,,Ruční omezení FPS,Ручное ограничение FPS,Ручне обмеження FPS
Limit FPS while no interaction with the application,,,Omezit FPS při žádné interakci s aplikací,Ограничить FPS при отсутствии взаимодействия с приложением,Обмежити FPS за відсутності взаємодії з додатком
Limits the frame rate when the user is not interacting with the application.,,,"Omezuje obnovovací frekvenci, když uživatel nepracuje s aplikací.","Ограничивает частоту кадров, когда пользователь не взаимодействует с приложением.","Обмежує частоту кадрів, коли користувач не взаємодіє з додатком."
This helps reduce CPU and GPU usage during idle time.,,,To pomáhá snížit využití CPU a GPU v době nečinnosti.,Это помогает снизить нагрузку на CPU и GPU во время простоя.,Це допомагає знизити навантаження на CPU і GPU під час простою.
Seconds before limitation,,,Vteřin před omezením,Секунд перед ограничением,Секунд перед обмеженням
FPS Limit while no interaction,,,Omezení FPS při žádné interakci,Ограничение FPS при отсутствии взаимодействия,Обмеження FPS за відсутності взаємодії
User interface,,,Uživatelské rozhraní,Пользовательский интерфейс,Користувацький інтерфейс
UI Scale,,,UI Měřítko,UI Масштаб,UI Масштаб
Apply scale,,,Použít měřítko,Применить масштаб,Застосувати масштаб
Show window tab buttons,,,Zobrazit tlačítka na kartě okna,Показать кнопки вкладок окна,Показати кнопки вкладок вікна
Requires restart,,,Vyžaduje restart,Требуется перезагрузка,Потрібне перезавантаження
Auto hide tab bar,,,Automatické skrytí pásu karet,Автоматическое скрытие панели вкладок,Автоматичне приховування панелі вкладок
Show quick add menu,,,Zobrazit nabídku rychlého přidání,Показать меню быстрого добавления,Показати меню швидкого додавання
Smooth scroll speed,,,Rychlost plynulého posouvání,Скорость плавной прокрутки,Швидкість плавного прокручування
Jagged scroll speed,,,Rychlost jagged posouvání,Скорость прокрутки с рывками,Швидкість прокручування з ривками
,Edit script window,,,,
Edit script,,,Upravit skript,Редактировать скрипт,Редагувати скрипт
Script Editor,,,Editor Skriptu,Редактор Cкриптов,Редактор скриптів
Save and close,,,Uložit a zavřít,Сохранить и закрыть,Зберегти та закрити
Reload script,,,Znovu načíst skript,Перезагрузить скрипт,Перезавантажити скрипт
,Select Layout window,,,,
Use this panel to manage window layouts.,,,Tento panel slouží ke správě rozložení oken.,Используйте эту панель для управления компоновкой окон.,Використовуйте цю панель для управління компонуванням вікон.
"You can switch between existing layouts,",,,"Můžete přepínat mezi existujícími rozloženími,","Вы можете переключаться между существующими компоновками,","Ви можете перемикатися між наявними компонуваннями,"
"create new ones to save your preferred window arrangement,",,,vytvářet nová a ukládat tak preferované rozložení oken,"создавать новые, чтобы сохранить предпочтительное расположение окон,","створювати нові, щоб зберегти бажане розташування вікон,"
"or delete layouts you no longer need.",,,"nebo odstraňovat rozložení, která již nepotřebujete.",или удалять ненужные компоновки.,або видаляти непотрібні компонування.
Select Layout,,,Vybrat rozložení,Выбрать компоновку,Вибрати компонування
new layout...,,,nové rozložení...,новая компоновка...,нова компоновка...
,Before exit modal,,,,
Save current scene?,,,Uložit aktuální scénu?,Сохранить текущую сцену?,Зберегти поточну сцену?
"Any unsaved content will be discarded, do you want to save it?",,,"Jakýkoli neuložený obsah bude zahozen, chcete ho uložit?","Любой несохраненный контент будет утерян, хотите сохранить его?","Будь-який незбережений вміст буде втрачено, хочете зберегти його?"
Yes,,,Ano,Да,Так
No,,,Ne,Нет,Ні
,Remove model modal,,,,
The model '%s' is currently being used by %d model nodes.,,,"Model '%s' je aktuálně používán %d modelovými uzly.","Модель '%s' в настоящее время используется %d узлами модели.","Модель '%s' наразі використовується %d вузлами моделі."
The model '%s' is currently being used by %d model node.,,,"Model '%s' je aktuálně používán %d modelovým uzlem.","Модель '%s' в настоящее время используется %d узлом модели.","Модель '%s' наразі використовується %d вузлом моделі."
Remove model?,,,"Odstranit model?",Удалить модель?,Видалити модель?
Are you sure you want to remove it?,,,"Opravdu chcete odstranit?","Вы уверены, что хотите удалить?","Ви впевнені, що хочете видалити?"
